#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) Seismic_moment_Mo Magnitude_Mw Strike_A Dip_A Rake_A Strike_B Dip_B Rake_B Slip_trend_A Slip_plunge_A Slip_trend_B Slip_plunge_B Trend_P Plunge_P Trend_B Plunge_B Trend_T Plunge_T fclvd Isotropic Iso_ratio u_Hudson v_Hudson X_Kaverina Y_Kaverina ID rupture_type
65.53 -17.59 20.2 -0.176 -0.814 0.99 -0.158 0.045 0.384 20.0 1.00562e+20 2.6 55.881 80.9268 -8.34528 147.206 81.7599 -170.831 57.2061 -8.24013 325.881 -9.07319 11.6084 12.2895 188.81 77.6962 281.482 0.582354 0.131444 0.0 0.0 -0.262888 2.96059e-16 -0.155783 0.768138 202105121405A SS
179.71 -25.24 508.3 0.442 -0.56 0.119 -0.507 -1.5 -0.783 19.0 1.83894e+19 2.1 95.1831 27.2593 162.168 201.142 81.9371 63.8727 291.142 8.06292 185.183 62.7407 312.675 31.9648 205.077 25.8498 84.1394 46.6986 0.0413662 3333330000000000.0 0.000181264 0.082377 0.000177681 0.141054 -0.158117 202110210810A R
121.7 24.63 80.4 0.932 -0.038 -0.895 0.022 -1.94 -0.976 19.0 2.35631e+19 2.2 65.5297 26.3726 149.021 183.804 76.7828 66.9704 273.804 13.2172 155.53 63.6274 292.09 28.1538 189.356 22.386 66.6619 52.6731 0.0471134 -3333330000000000.0 -0.000141464 0.0945032 -0.000138224 0.231472 -0.208858 202110240511A R
26.44 34.98 24.0 -0.865 -0.839 1.7 1.48 -3.89 0.415 19.0 4.43461e+19 2.4 226.198 16.2948 -24.197 339.529 83.3962 -104.93 249.529 -6.6038 136.198 -73.7052 233.25 49.4662 341.285 14.8286 82.6594 36.6827 0.0623259 -1.33333e+16 -0.000300665 -0.124068 -0.000291874 -0.117026 -0.351265 202110120924A N
-90.58 13.15 34.6 0.985 -0.817 -0.167 0.371 -0.454 0.498 19.0 1.19355e+19 2.0 286.28 32.3439 69.8229 129.787 59.8565 102.321 219.787 30.1435 16.2804 57.6561 210.84 14.0232 303.528 10.6339 69.4836 72.2671 0.0496725 3333330000000000.0 0.000279279 0.0987996 0.000272719 0.529867 -0.355699 202105120845A R
126.29 0.28 20.4 1.56 -1.49 -0.067 -0.266 0.721 -1.37 19.0 2.19011e+19 2.2 266.253 50.6791 131.702 31.6717 54.7188 50.9173 121.672 35.2812 356.253 39.3209 148.168 2.27239 56.8031 30.9738 241.943 58.9242 0.134109 1e+16 0.000456598 0.26736 0.00042954 0.606393 0.0570722 202106031009A R-SS
100.01 25.62 15.1 -0.243 -1.44 1.68 -0.045 0.417 -0.014 19.0 1.629e+19 2.1 45.3962 80.1873 6.82519 314.228 83.2751 170.119 44.2277 6.72487 135.396 9.81272 0.0318484 2.16099 100.317 78.0662 269.583 11.7309 0.18566 -1e+16 -0.000613874 -0.370188 -0.000566029 0.126865 0.75885 202105211348A SS
166.89 -13.69 105.2 -1.27 0.283 0.99 -0.755 1.7 -0.89 19.0 2.36404e+19 2.2 313.3 19.8094 -110.263 154.725 71.4629 -82.8891 64.7248 -18.5371 223.3 -70.1906 75.796 62.8816 332.454 6.74021 239.13 26.1333 0.113027 1e+16 0.000423005 -0.226855 0.000401004 -0.33182 -0.466915 202110180726A N
171.58 -22.95 13.8 1.02 -1.14 0.127 0.591 -0.011 0.037 19.0 1.23646e+19 2.0 272.045 30.6614 90.6008 91.347 59.3405 89.6438 181.347 30.6595 2.04541 59.3386 181.607 14.3398 91.5286 0.306373 0.330336 75.6568 0.0990933 2.33333e+16 0.00188711 0.194575 0.00180574 0.552221 -0.533089 202102101224A R
145.48 -3.44 12.0 0.075 -1.6 1.52 0.139 0.069 0.656 19.0 1.70071e+19 2.1 326.425 84.8223 -179.702 236.398 89.703 -5.17773 146.398 -0.297016 236.425 -5.17766 191.295 3.86914 53.1242 84.8138 281.529 3.44824 0.0445597 -1.66667e+16 -0.00097998 0.0910344 -0.000957519 -0.00570956 0.838228 202104270805A SS
